cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgyuaeAMXxAwb9PfPBF4AaABAg,"Can we take a min to appreciate how this movie has no CGI. The rock trained so hard for his role so he could fly and survive explosions, what an inspiration.",2 years ago (edited),@dude99844,UCNaNte4FDH5eJzEe8jtZzZQ,29K,366,https://yt3.ggpht.com/ytc/AIdro_lAyCmPuPTcTtYpOA4QnUiNiel5MSi2UOypDgNoiTtaAGtGVrLt1wtS6foazk69LW0x-w=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.871521,Black Adam,6.4
UgyJQ2jBEIm_8axC1qJ4AaABAg,If this movie bangs DC should focus on villain movies a Deathstroke movie would sound sick,2 years ago,@BarryBruh,UCKM7fGtxrLnh-GmGGhpEB3g,34K,428,https://yt3.ggpht.com/_n1_OhCIgawnoAa9d6SFVIV4ztifoKhqTIfl9tkuz7TU61wrkHnnfGKf5B9xJk2he-PemUyIbg=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.871521,Black Adam,6.4
Ugwd-BRbGX-Fz4RRpj94AaABAg,I hope this movie does well,2 years ago,@TimeBucks,UC9SPmYqr3fGiP95b76tnUag,381,37,https://yt3.ggpht.com/ytc/AIdro_mqWhORDZ6WI6XQ-I7O-Sz-99Hs6FNx4YyAY0De-SqAgA=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.87252,Black Adam,6.4
UgzAdU-KZlD5NsiqBSF4AaABAg,"The scene where Black Adam said ""it's about drive it's about power we stay hungry we devour put in the work and the hours then take what's ours"" i fell into tears",2 years ago,@Gol.D.Kaiju.,UC8QQs-z29lSDOoiA7yP6AuA,5.2K,54,https://yt3.ggpht.com/sSNMMxf0RbKi2mbeJRRhuLYG7shasYtg5jiLVTqV1yahMEEvk6VymcSBqrIUZFCMLgno0ws940Y=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.87352,Black Adam,6.4
Ugx_-ciPr3rUrigF1XV4AaABAg,cgi 98%......,2 years ago,@kingayrton8327,UCm2SBUjGq7FuqJb_5pTliNA,2,,https://yt3.ggpht.com/ytc/AIdro_mw4KFCfgRL6YR3DIMrjrs_cknuQmYy5YXA--Q49rSJUw=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.874521,Black Adam,6.4
UgyIYS4CtaGtZ66DUFJ4AaABAg,"Pierce Brosnan as Dr. Fate, give that casting director a raise!!",2 years ago,@sebashtiendrake2771,UCuAy8yD7BXnfpYXtvCRSxRg,1.8K,11,https://yt3.ggpht.com/ytc/AIdro_lyZfjdqQTDnwUFWO8Xl5JR8QQe_d1u86RF3eo-8Vt40w=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.875522,Black Adam,6.4
Ugy_3a220W0bbeQxjVt4AaABAg,This actually looks like a way better movie than I had any hopes of it being,2 years ago,@CalCHRIST,UCwm3FiuxRj4akmbxKRHGwvw,4.5K,55,https://yt3.ggpht.com/kRBh-f_q3xDEXc2z3UrDQrmMRu0BTCNazCR9wyDzQ8o66gAHVbqFqWrbFND6UnK5rG5HaV9osA=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.875522,Black Adam,6.4
UgzFoPI3DResMPbUdP14AaABAg,The Rock was born to play this role!,2 years ago,@ShreemauliRaut7,UCOtWTG1puGhnIL4DbM5MaGQ,472,14,https://yt3.ggpht.com/ytc/AIdro_nrNRzvA12Q-65re3C47HENJA17OaKhCIZyYV7hXl4Uo4o=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.876521,Black Adam,6.4
UgwSGItONWlRLfcQU414AaABAg,the soundtrack is from Romanian folclor,10 days ago,@sorescudragos5231,UC-btmNZ-nHzNpQVkt8yyakg,0,,https://yt3.ggpht.com/ytc/AIdro_mLMzrV4rXXND4rwSl1DA9miGvWYxashh_AZRYVtAcqgQ=s88-c-k-c0x00ffffff-no-rj,False,False,1733169804.877522,Black Adam,6.4
UgwHEXYyPfNchwxsQfB4AaABAg,Seeing The Rock flying with no cape and looking around is just so weird LOL,2 years ago,@YESHAYA_,UCoOyz-BdLeJo5UU3onTHfwg,2.3K,38,https://yt3.ggpht.com/KkKMzcCRS2S7bOIZegw6IJ4Go0WsxYHBeexNnDqr410aiyQyTjRQeattdyjPneUa3nxwT0mTLA=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.878553,Black Adam,6.4
UgwaKuoLaJSFRKgszut4AaABAg,The Rock has been attached to this character since 2007 where he wanted fans to vote whether he should play Black Adam or Shazam. Then in 2014 he was announced as Black Adam and have been holding this character when the project was passed to many different directors and writers. It really shows how passionate he is in the role and so far he looks absolutely good in the role,2 years ago,@800Ms-k6n,UCJ2TdNkUpPWLXEZisZGKy0A,3.8K,47,https://yt3.ggpht.com/qi2TKqZgTNhBhrbnpImTayfRS0znOAtqoZmtyIK7SpOUdWuvuUyEpJRgYDEmiEQMrEo8GIjRhA=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.878553,Black Adam,6.4
UgyxQZF-E5hA8V6v1Yl4AaABAg,I really can't believe this movie isn't rated way higher. I loved it from beginning to end,8 months ago,@albertoandrade978,UCWxM2L5BS6dN8W_x0QZ1IjQ,109,5,https://yt3.ggpht.com/ytc/AIdro_nATaj_XyZ449yTpyY9GNkkpedOEjet8B9ru95ikqwS3Mf-MXvcS1UlV0t6a5VEu6AwMQ=s88-c-k-c0x00ffffff-no-rj,False,False,1712948604.880559,Black Adam,6.4
UgxTH0hiHChoJocJwPZ4AaABAg,"Dr. Fate: ""Heroes don't kill people""
Black Adam: ""I missed the part where that's my problem""",2 years ago,@TheHumanSpiderr,UCVwUJd9Fqj_sXschfpGGleA,6.8K,92,https://yt3.ggpht.com/ytc/AIdro_mJ9okOGPNy7KyC9XXP2_fzDfpPcxLIR-B2hc9RmHF2WJ8=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.881527,Black Adam,6.4
Ugw0ULBxKutEprH3_zl4AaABAg,The critics got it wrong!! This movie had much deeper meaning and heroes we are not usually shown. Much better than expected.,1 year ago,@nmmcpa19,UCG9Hk3UXySiRLtgX7AQ4aHw,73,2,https://yt3.ggpht.com/ytc/AIdro_nbx3llfIQ-3v3wNVVnl2jYCoCLNIYKvVbfpoqdwBBTgKQ=s88-c-k-c0x00ffffff-no-rj,False,False,1702411404.881527,Black Adam,6.4
UgzbmLQlBS0AJEE9aqR4AaABAg,"Talk about the perfect casting choice, I can already see Dwayne Johnson absolutely owning this role.",2 years ago,@TheRealGuywithoutaMustache,UC3RIcfnBQinhnhKHCIEA16Q,12K,223,https://yt3.ggpht.com/ZituR_GEa775ikSot9mc44a_iZ8TeZHFfY7BKxR-eygMeWgGXTRdX1rnW225VMODE3IwxsOw=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.882555,Black Adam,6.4
UgwP_XmFaYdfBHbwHSp4AaABAg,Pierce Brosnan as Dr Fate is genius! Cant wait to hear his voice through the helm,2 years ago,@-chippo-,UC07rJuAme8M-ZaTlYRNdl6Q,1.9K,9,https://yt3.ggpht.com/nOI5j59_bv8vx_YrW_RbZyQdG4I8h75CJwn-qqQMvLSNeP7RgD29CogctbNxg_n2pHf88-ceqg=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.883558,Black Adam,6.4
UgxOFZpE2gIrStsKhXV4AaABAg,"❤ this movie, regardless of what the critics have to say. I enjoyed it and that’s all that matters.",1 year ago,@edzshan,UCIBmulCfit1SpnhoheHWGuQ,62,3,https://yt3.ggpht.com/ytc/AIdro_ln3v0Kp4XJSKmVB8Mg0nhq999Uuop8xJbE7FBP8HY=s88-c-k-c0x00ffffff-no-rj,False,False,1702411404.884521,Black Adam,6.4
UgwrEi6Zoc6E3MP9UlN4AaABAg,We saw Dr Fate's powers for 4secs in this trailer and im excited to see him in this movie as much for Black Adam,2 years ago,@theseproblemsmatter1,UCKN8g-UQREmI_1KfIcT0GvQ,2.3K,44,https://yt3.ggpht.com/ytc/AIdro_kArdfd70swl2eobLikSp_Nr4Nr5hR1TvaFQR67EosIxUY=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.885515,Black Adam,6.4
UgydPCEoUTgEU-bw7IZ4AaABAg,"As much as I appreciate Dwayne Johnson being in comedic roles, he is definitely more suited for a military or superhero/villain role and this trailer cements that.",2 years ago,@Tre-vor,UCI5vqI8SWXrNQBBKzD7x2dg,800,7,https://yt3.ggpht.com/X3i4NhHXuxvuQPL8vDrCr582Z9nVaYl5boZgbfS2uR8eBDESXytl3uHE9fwUrz7xv98KBwqIdA=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.886556,Black Adam,6.4
UgwS6dAYiX9iCAtVApV4AaABAg,I like how you can't tell if he's the hero or the villain. I only hope they don't turn it around at the last moment and make him the savior. I like morally gray characters who only look out for themselves and don't necessarily want to destroy the world or conquer it.,2 years ago,@pandora4037,UC3vI_JTwh2G0Lrta7Gqs1zQ,2.2K,47,https://yt3.ggpht.com/ytc/AIdro_kEGrB9uXeURUIzQ4Q_jimTp2FYh0J99mljNEjbDfoYFrlc=s88-c-k-c0x00ffffff-no-rj,False,False,1670875404.887557,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Wq0HsD4f,LMAOOO,2 years ago,@danitho,UCpBxNAxa4RRUA2ZX8zgXweQ,673,,https://yt3.ggpht.com/ytc/AIdro_k4eJxJMl2q3pIgh0Q0_y-So2aLbPCghoVV2f4ih_wTWJ4=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.146527,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0X35iTg6T,@@ no CGI really,2 years ago,@nanonidesu8250,UCir4xJ6js8eguEgwVpw9TuA,219,,https://yt3.ggpht.com/sfNFD4kmsbzdtzOmDunwmHsg8uEDiUSRTp7btl6ZXVOA82qDCwT3uR3I6dgNY2xdcFVZGsM1BA=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.147527,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0XliuxfJd,*insert vine boom sound*,2 years ago,@ciptaantuhan9261,UCH6OAMys5MZBEtdnSq6UkKA,396,,https://yt3.ggpht.com/ytc/AIdro_lXP_d_Lfc97BZfzxhWUTFsKccGLN1YRt85wiKs7KxsSXQ=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.148527,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Xv5MI-ri,Underrated comment.,2 years ago,@ubertetrot,UCGpqnB5HuWEKxAqxLzq-T5w,205,,https://yt3.ggpht.com/ytc/AIdro_nUlI2rrhIinLVKtLuKW-8m_5daJ7rm8uudVjP5eQ5fXQ=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.149527,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Xy8sE6Ad,No kevin heartses hurt during this movie,2 years ago,@sahandnasiri3185,UCealRWwgXqL4QU37puVyWGQ,205,,https://yt3.ggpht.com/pCKRXodccSVqB2cg5OjTv49zjX1hcrP3xgwuLC0BDIGtQy1ATFhmCA-MrlObWrdd9Xn9LKMvtg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.150527,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Xzgvdll-,"I know, Dwayne is getting to Tom Cruise level",2 years ago,@Burton-uu1sy,UCN1aSTgso6PRDzR5Zv02PeA,189,,https://yt3.ggpht.com/ytc/AIdro_kBGuM3F2H_kjNdSBNh-BCEJAMlphFp084WUQj-A4Y=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.150527,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Y4IqGZVp,He’s an actual god now,2 years ago,@lil_sushi9663,UCFz3D0qJmZbE-GBz9qFBXkw,109,,https://yt3.ggpht.com/XDCxLDtarGHrdzm8FCkpZKhBTDJehLwkF6FZhjn0NQhJi_qfRQVgEqHxV1LbInl5FdEGEW3kznA=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.151528,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Y8Sc2qLx,Yes,2 years ago,@pretzel6732,UCJZW-gUu7vXbnRspjlRN6Ew,23,,https://yt3.ggpht.com/S6mGxHGn8zLt4hWXw5EKUYgpI8e9WKgu4h9Q3c2_38gZIjVLxl3zQhoBx965xTEWqfPIvkxOCA=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.151528,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Ybpy4yGt,he learn from saitama dude...that why he have no hair for decades,2 years ago,@technoboyz94,UCooY3rrA9n4JSzAqqyHvQog,216,,https://yt3.ggpht.com/ytc/AIdro_n8rj7qIrL32WlRnLuXVYwEQQdCjCSIAp_15nx1-ILBGg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.15404,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0Z7lPSa7p,"He's literally the most electrifying man on the planet, not surprised of course",2 years ago,@800Ms-k6n,UCJ2TdNkUpPWLXEZisZGKy0A,110,,https://yt3.ggpht.com/qi2TKqZgTNhBhrbnpImTayfRS0znOAtqoZmtyIK7SpOUdWuvuUyEpJRgYDEmiEQMrEo8GIjRhA=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.15504,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0ZF6x1o8m,LOL,2 years ago,@benx104,UCjDXVpBmVAGWwysCEMS37ZA,7,,https://yt3.ggpht.com/ytc/AIdro_k-_Q3KRujLrOUITqLTEs-f_7jvt2LAuqcwHNVJq08=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.542244,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0ZSSGdezl,Morbius was the first comic book movie to have no CGI. Just Morb-effects 😤,2 years ago,@DynestiGTI,UC7Cy6EtVHzCsvQtbivAakPA,82,,https://yt3.ggpht.com/VaWnJEDd1uuBIR2VhpXx5AVfrWep0PMgSNGT4Xmo_CE40vaNlIZL5-6QXUueMRQ-dw-RpMkDXA=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.543244,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0ZXtmXlMG,He fits the role! 🖤😅🖤,2 years ago,@herbertharris7316,UCKBf93FmHyTt2msiuyJUtbw,10,,https://yt3.ggpht.com/ytc/AIdro_ld6joDehrrFul4H1n7SpfiG1hwkXJvZOfCnfS2hNY=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.544244,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0_0c6JI8R, @ciptaantuhan9261  BWAAAAAAAH sound intensifies.......,2 years ago,@mnomadvfx,UCMXDcPy__FPUJr9Qj5LKG4Q,5,,https://yt3.ggpht.com/9dfVqCxqD9mtuqEtBRvg5n6VdufMYg5v0NNgfUFFoHppgJKA9-GnLTf8MMINHAIXZIIjs5dlEw=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.545245,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0_BfzQ9vs," @Burton-uu1sy  Not really.

Cruise is his own level.

He could finance his own films at this point.

Dwayne is more like hitting Schwarzenneger's stride.",2 years ago,@mnomadvfx,UCMXDcPy__FPUJr9Qj5LKG4Q,18,,https://yt3.ggpht.com/9dfVqCxqD9mtuqEtBRvg5n6VdufMYg5v0NNgfUFFoHppgJKA9-GnLTf8MMINHAIXZIIjs5dlEw=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.546245,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0_CJLm2n4,I laughed so hard at this comment. Here. Take it. Take my like. Take all of it!,2 years ago,@CrniWuk,UCVi_lG_7I7lU1fS14wjOmSA,33,,https://yt3.ggpht.com/ytc/AIdro_nbr5OlHfCHf8jgM7dGrue2SwUDXi1yUOsrXajYuVvpm48=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.546245,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0_yxVh01E,Coz he was reborn a god 🙏,2 years ago,@souncreative9751,UCEbw3irnQ2H8ELEh5Eniyqw,9,,https://yt3.ggpht.com/ytc/AIdro_kZLgsiw3lD2chVBHShBsZLa6TW9ajtuxoCp7EP6VfcCi6Fc2TYh4nTzTEWJ4SmYrfSOg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.547244,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0a2RA_nO1,He trained to fly??!?! How??,2 years ago,@pby7675,UCcqprwQ-hOTxAog3sXtcMpg,19,,https://yt3.ggpht.com/ytc/AIdro_lh-sJSEf-Nu4YbgphVMsC7QmXDp5__RZtLjEA1eeAb5Wg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.548244,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0a6aTfK_Z,😂😂😂,2 years ago,@ameydhage7017,UC1cLtUt-Dwv1NwibGp3_ykQ,5,,https://yt3.ggpht.com/ytc/AIdro_kT3EUD3bJwNRN9hzki-xsO99W6zr7Phte407pFfbpk7eM=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.549283,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0a7bpXNAi,just like his WWE unscripted matches..👍,2 years ago,@curiousmonk7990,UCCaCwLBvBxLzQ28DLy6CaeA,16,,https://yt3.ggpht.com/ytc/AIdro_k2MBvG9XLwRN9If4YzA0VF87BhAwOctBy8L32dSbG-AmH722OkziMXKiHaJkuGXf4ZlA=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.550278,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0a8eIsTXQ,He didn't trained for this. He always had this powers.,2 years ago,@sylasexd,UCmZmei7Ec-E319_aqrHEM0A,20,,https://yt3.ggpht.com/9d0kMCz2Goci7cXNakCeRJveEIcP2UG-JoZ4h3A6KKQc4odRJB9BhLB0mtnRXcV0DEZR6wn43g=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.550278,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0aXb_EP92,"""You will believe a man can fly.""",2 years ago,@patmfitz,UCkp51ANvBJpTqnkZogS13dQ,8,,https://yt3.ggpht.com/ytc/AIdro_nog_fMkZ0BcW5GufYTgQKWmajUuDzXmNkEZMd3L-fB0dk=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.55128,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0a_0a0sAz,😂😂😂😂,2 years ago,@resy4,UCbn8V9uCVYESDwMxUBYyuyA,1,,https://yt3.ggpht.com/4Cci0dlCm4JzRBOUikBa_TC372Gx7wPfeeKPHJ7iXkR5xKGSwqmsa94b3hBGjNyg5l95BZm7=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.552242,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0afQN1VT3,Truly dedicated,2 years ago,@HellJumper99,UCBXmQJSapEql9J_5mCFos_w,4,,https://yt3.ggpht.com/8hnD0CEPy-_ry6TqWsY5fvtNzY0pW_LX_iFiQa1Yt0SkHIHbU5T_9ukxKVxH7ktir8QTDlTEzA=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.553282,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0at_8ps8m,No cgi… just hard trenning,2 years ago,@johnlopez9014,UCzIJc-J295_XZQYyDYIvujg,7,,https://yt3.ggpht.com/ytc/AIdro_mbOJxaWX9rflBelDrh-4v9flU35bDRM7MlWKCfRfo=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.553825,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0axV2px_l,Lmaooo the rock flying is reall 💀,2 years ago,@kubo7738,UCdkBOOPl550zJpLmVy2F1OQ,0,,https://yt3.ggpht.com/ytc/AIdro_lsD9fb3o3zru7GbCcLPz5rc8PdAzeyOvrHvja1df1RLYg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.55487,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0ayScQxUB,True true,2 years ago,@smartgamingpotatopotatoz4217,UC_jL4O4k6aWGfzEm2LOuSHg,0,,https://yt3.ggpht.com/ytc/AIdro_kG3Qpu81-vuXYrIWJsSWi5qYRrjqonsJekDIzH6zK4vg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.555875,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0aylC5NDA,Pills,2 years ago,@lalobautista7663,UCcQ-pKEoH8xuAxN_9WdakVA,3,,https://yt3.ggpht.com/ytc/AIdro_kpmxjiZPbxl0bWOHeQwlp2C-U-vWMJm8kqcHbBVdXGVEc=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.556868,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0b93mYK1-,Wow how did he train to shoot lightning from his hands?!,2 years ago,@gimbz105,UCpMdCP00BTItFjWrrDjMavQ,3,,https://yt3.ggpht.com/rDp0GtsArrsbwP3x1ThDDBoZO85FZ7gVD2qD81sN6FTrPn-NIQiB6-EPRCQl3ZxElLBxpDd-=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.556868,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0bIDcONxL,No moustache were harmed,2 years ago,@Rexghh,UCAn3uOAlS1hnGh1NSWFIrKQ,5,,https://yt3.ggpht.com/zD9gS8rkEUp2crKrpIbj1f-I7TjTJotP_WCutw5FWNU5X_pZ0CsSRUP7wB77zFTbBUiHwpJLtd4=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.557868,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0bPvqCfgz,Nah he was on roids at least,2 years ago,@Snoop_Dugg,UCsp-wbjxGIkV3e_ThmK4j_g,0,,https://yt3.ggpht.com/ytc/AIdro_m7Ldt8zzkyaDxvcUcTwlkxkOdmaU_kVD2wNLE60cNHGSrR=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.558869,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0bU0c3Ivf,if you imagine the rock wake up at 4am just to train so hard for the powers is really not cgi,2 years ago,@wl9742,UCYHksllsUeTIt0oTXYMREjw,3,,https://yt3.ggpht.com/6fxdZqg31PKGg1PUJjVjwd5xuiPbsaGtGcj_aJr8phseD76zW8uAZ5ciEWhnoqQC9CqyRiCJ=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.559872,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0bfOsfsvI,So funny bro 🤣😂😂🤣,2 years ago,@unknownstranger2621,UCk5SwMsur9lSwCaN-XjVHBw,2,,https://yt3.ggpht.com/ytc/AIdro_nSzFOEaSmdkEQ4vvcqDnjSNEV092w2jDG4ywSGK4odfvQ=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.559872,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0bfrtPP3H,The rock actually can fly?  I guess you just knowing an internet and smartphone one weeks ago dude...,2 years ago,@barberbuzzmusic6852,UCMbOgq4-z0jf7Fhv9DsBKEA,3,,https://yt3.ggpht.com/ytc/AIdro_ncmOzdZ6_CdjVMZylRH92DUOULbLkg5-FbpGBX0gk6Dg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.56087,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0bgLL-1KR,He discovered One-punch Man's training secret.,2 years ago,@rap3208,UCnGwXKzAeadlXCmWOK5M3sQ,11,,https://yt3.ggpht.com/ytc/AIdro_nEdIj39WGC8gCjOrYFusqo3YoVHJ860LPJCXHbJSE=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.561868,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c0bhozhLpo, @technoboyz94  😂😂😂,2 years ago,@unknownstranger2621,UCk5SwMsur9lSwCaN-XjVHBw,0,,https://yt3.ggpht.com/ytc/AIdro_nSzFOEaSmdkEQ4vvcqDnjSNEV092w2jDG4ywSGK4odfvQ=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.562869,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c7vvG1VSUl,Lmao!!!!,2 years ago,@JacobFury,UCzQYuQyS646BkbTqNQjB10A,0,,https://yt3.ggpht.com/ytc/AIdro_mibWdQEyUoXkNmjhngge1uInGE5Nj-Hc6pnyRh_5P0qQ=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.563869,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c9m-0PZG_v,All pure method acting,2 years ago,@anthonyvillanueva5226,UCvKhMEGNTOUdNr6mRLB-8dg,3,,https://yt3.ggpht.com/ytc/AIdro_lET8TADtWHrMgRlam1Dl_4GHOEA1aY39xcCxY1dVV59Xc=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.564842,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c9uZVXoF_b, @barberbuzzmusic6852  yes he can. He’s such a chad that he was able to surpass human capabilities and fly.,2 years ago,@poof8342,UC1Z7rl5dLIPZyzUV3Qm740Q,3,,https://yt3.ggpht.com/ytc/AIdro_mr37oRls3u6k7EE_8gDqBxn_k1Cw9-a1KK79pSS85YEcYWkOxBOW-pyk2xx5PX-pxcIw=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.565832,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9c9vWDmMcvz,Facts !!!,2 years ago,@ah6169,UCkxIja4296Evtgq1qts6vcw,0,,https://yt3.ggpht.com/ytc/AIdro_l8cOWT_4bLghPteoioP9KnqX_t_doCjlAAv-jBZeA_Rcg=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.566842,Black Adam,6.4
UgyuaeAMXxAwb9PfPBF4AaABAg.9c0W-_KoWrZ9cA0JcP23g6, @lil_sushi9663   true!,2 years ago,@aguyfrombabylon6430,UCaSsJ-tIqCcAWJujgjMdKpw,0,,https://yt3.ggpht.com/ytc/AIdro_kC0doa1qxkyKm5QxSwAAXQQ7hBEzTYiU4SAGfteENaCQ=s88-c-k-c0x00ffffff-no-rj,False,True,1670875405.566842,Black Adam,6.4
