cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgiGe4eN1IxNwXgCoAEC,Can we all agree that Channing Tatum looks ridiculous in this movie?,9 years ago,@artofwargh,UCClzA49C_oOjBJR_Djl4yUg,621,23,https://yt3.ggpht.com/istXFlgGOk03JOu9IjX-ZTNYsYCebhb_x5Il2cuSUGis0SPLtIT0VVeniwNPUieFe0bHT0LXiQ=s88-c-k-c0x00ffffff-no-rj,False,False,1449952569.711363,Jupiter Ascending,5.3
UgzvF7LvTHU21JceBhp4AaABAg,The whole movie is the Truth!..It's Real Actually!❤💙💜🙏,2 years ago,@morganaugustin4716,UCho_UZLznQ_Hlgjfo4JfBvg,28,3,https://yt3.ggpht.com/ytc/AIdro_mkrtDce4ptrtdGiL5-EPkYvcUiMssjXPeGoFPLJx0=s88-c-k-c0x00ffffff-no-rj,False,False,1670877369.712362,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg,Plot twist : This is already happening on our planet :),5 years ago,@florenceleclerc1154,UCA3xAinfvbBRhafhxE-M3Tg,481,33,https://yt3.ggpht.com/ytc/AIdro_lfaMxFMQlr_y00XDRroXIurJmeNTgPzqO-JPwpN0I_6Qw=s88-c-k-c0x00ffffff-no-rj,False,False,1576182969.713363,Jupiter Ascending,5.3
UgisC4fymWWp6ngCoAEC,This looks like a fanfiction.,9 years ago,@emilybellor211,UClHeHiLeX82wMwTm-G-YwiA,385,9,https://yt3.ggpht.com/ytc/AIdro_nKlA_V1vRp_I1lYEw5jZnC6VG8KYNQDcPzDCqztr5Oylk=s88-c-k-c0x00ffffff-no-rj,False,False,1449952569.714366,Jupiter Ascending,5.3
UgwFAGLtb_wMDnvJ5RB4AaABAg,Based on a true story,3 years ago,@ro6874,UC7fHl-nsqt2oNxwuLoVzuBw,11,,https://yt3.ggpht.com/ytc/AIdro_kKCC-EVuclo_Tn2LcfooE8YfPCBA8l1X-1XhSBpIs=s88-c-k-c0x00ffffff-no-rj,False,False,1639341369.715364,Jupiter Ascending,5.3
Ugg_3nBaYr8cZHgCoAEC,"I feel like this was bad casting, I cant take channing serious and his face isnt suitable for the ""bad ass"" kinda dude, and Mila Kunis doesn't match the role of a royal like person. I feel like this movie could of had a much larger impact with more suitable characters. But this is just my opinion. ",9 years ago,@LJBrood,UCRg90w4JEsDEoXnKA4aYt5g,155,8,https://yt3.ggpht.com/ytc/AIdro_l1HjDsTCunG8Yteeq9oei378qXri9Svo4qZXzgkACZMTM=s88-c-k-c0x00ffffff-no-rj,False,False,1449952569.716364,Jupiter Ascending,5.3
UghjUTkX3i9NtHgCoAEC,"""Harvest"" humans, seriously? Whoever wrote that script was playing too much of mass effect. -.-",10 years ago,@Beef1188,UC570kBMQF2309clRWuuoZ6Q,114,21,https://yt3.ggpht.com/ytc/AIdro_m6i4V8HcPh_cyq7_0xsh_918p_28bCHtvgL3fhoPrm4w=s88-c-k-c0x00ffffff-no-rj,False,False,1418416569.71737,Jupiter Ascending,5.3
Ugx7kXQZYpropzTzdQ94AaABAg,Based on a true story. The Truth is Stranger than Fiction!,2 years ago,@archangel8876,UCTEjgRkLp5MTpYz6i_sr65w,18,,https://yt3.ggpht.com/ytc/AIdro_l5ScamrrfRuFcJSHKTnVcLjau_GG5PuZSrNYaP8fs=s88-c-k-c0x00ffffff-no-rj,False,False,1670877369.719327,Jupiter Ascending,5.3
Ughe4tICEfe8QHgCoAEC,"The film is visually stunning! And I don't care what the critics say, Eddie Redmayne did a great job with that creepy character.",8 years ago,@fdl238,UCfu8iDHEmYj4fAb8Nf1SWng,318,3,https://yt3.ggpht.com/kHVCFOiu9NqqxkBYBut8gVcq8BdQEQ31OL1TD3UiXJNEQpcBAUzcIbmHZ2poOwtl2UqmOlR-Aw=s88-c-k-c0x00ffffff-no-rj,False,False,1481574969.720326,Jupiter Ascending,5.3
Ugi1Jv1P_Ayv13gCoAEC,"Give it to the Wachowski brothers to take a werewolf shooting lasers at dragons while riding on rocket boots, and make it boring.",9 years ago,@JeffreyHeesch,UCPQG-TtuxDM5u__OKUgtwAQ,22,,https://yt3.ggpht.com/ytc/AIdro_nJhgNd1oOU0UzW2tZ0VzlV7qT5cIl8CIWVvO7mCDA3FYFY=s88-c-k-c0x00ffffff-no-rj,False,False,1449952569.721325,Jupiter Ascending,5.3
UgiA7tee6Mepq3gCoAEC,"2:11-2:18:

""Your Majesty, I have more in common with a dog than I have with you.""
""I love dogs. I have always loved dogs.""
Cuts to them making out.

In no way, shape, or form will this every be considered creepy...",9 years ago,@Killermike2178,UCHXlfwdvN9qbL_vm4hotXCA,356,15,https://yt3.ggpht.com/ytc/AIdro_lX_-95VR6SN-T65ZKh0fMc7aoC1QQjZbKTF7tYJzKJ1Q=s88-c-k-c0x00ffffff-no-rj,False,False,1449952569.723327,Jupiter Ascending,5.3
UggCciHsNy5M_ngCoAEC,"This movie is like a guilty pleasure, I know it is bad but I like it.",8 years ago,@mimityP,UCVOELlwUxb4_4RNZEo4kGSQ,648,11,https://yt3.ggpht.com/81GqHc41_DZelEb3MmMHT_QtkkK0eef7k2a3KM1Sra-Ztj5NnMRzdXzQUMY0OMQQ_pbL3TSSbA=s88-c-k-c0x00ffffff-no-rj,False,False,1481574969.724326,Jupiter Ascending,5.3
UgwfHFyxSybDUAtJ47l4AaABAg,"I literally will see this movie because of Eddie, and smile the whole time that adorable kind-hearted Eddie is trying to be evil. Not that he’s not great at it, because the man is great at any role he plays, but — Eddie doesn’t have an evil bone in his body. I mean look at him as Newt as only one example of his many amazing roles. I love him so much lmao.",5 years ago (edited),@kdmusicluvr017,UCw4LjqzdZ8GjIs_hlnX7ceQ,54,1,https://yt3.ggpht.com/ytc/AIdro_k0etBdZV2TIzjfs2AQA6PzZRxx2bFBEAvNrLsnwp2477af=s88-c-k-c0x00ffffff-no-rj,False,False,1576182969.725325,Jupiter Ascending,5.3
UgjZl29jEIpJaHgCoAEC,"The two worst things in film:
1) Forced romance
2) That stupid, heavily breathing whisper thing that no one really does and doesn't sound dramatic",9 years ago,@welltoucansamatthatgame,UCSo98YJCLiZGWACt9FZs1SQ,507,7,https://yt3.ggpht.com/ytc/AIdro_meaFUFwG_z39JnBbIgJtMoTcdKqY2tiBtoYpewC5OQpw=s88-c-k-c0x00ffffff-no-rj,False,False,1449952569.727367,Jupiter Ascending,5.3
UgjMvmG7geFm0XgCoAEC,Hmmm...I don't know what it is...but something is telling me that Sean Bean's character may die...,10 years ago,@samanthasmith8652,UC8dKgOmkpdlmm5hRhdB1jrw,537,34,https://yt3.ggpht.com/ytc/AIdro_kFQMO4qOzcOQHSoIej7VkolGdfUSgeLi0SvoSrZFu0Tg=s88-c-k-c0x00ffffff-no-rj,False,False,1418416569.728326,Jupiter Ascending,5.3
Ugw0C3aUl4HQ_SFyRJN4AaABAg,"I really liked it.  I loved the action, the romance and the characters.  I have actually watched it several times.",4 years ago,@tanyaedwards3723,UCrWWfm9bdEAEZe3TvEBN0Dg,79,,https://yt3.ggpht.com/ytc/AIdro_nId6q9-eAkmdo92fIQOZTl6NFsPXTMch07c0xvfyA=s88-c-k-c0x00ffffff-no-rj,False,False,1607805369.729324,Jupiter Ascending,5.3
Ugyu4nB2okTtemB4yZ94AaABAg,"When rewatch movies such as these after you've awakened to the truth of the universe including the likes of Avatar, Matrix, Lucy, Frequencies etc you get to have a depeer understanding...suddenly, you see connections that werent there before",2 years ago,@pl4423,UCvVivgiAgisYoIz9hQORpDA,14,1,https://yt3.ggpht.com/ytc/AIdro_nl2OVPn0ImFgOW19e9pIW9FMDU5oC1di1Ok7LvU3c=s88-c-k-c0x00ffffff-no-rj,False,False,1670877369.729324,Jupiter Ascending,5.3
UgzQ1WMDYY3IQFdbJ0h4AaABAg,"In 2015 when this movie came out, I was so shocked to see that no one knew about it! At this time I was terrified of being abducted by aliens but completely fascinated by the idea of destiny due to what is written in the stars... That this was all aligned, even the disasters and the wins. But how could it be? I wondered what free will and willpower was, when you are born to be the enemy. I wondered if maybe it was all in perception, the free will... I still wonder lol. BUT Channing tatum is my favorite actor, so he was the perfect choice- this really fulfilled a fantasy for me. a dog angel man, what a unique combination that thrills my creative mind! Thank you!",3 years ago,@ANYSHOWdotCOM,UCy6mZKvQeJ99MbbWDLtIT2Q,17,1,https://yt3.ggpht.com/ytc/AIdro_kbL0v3r_p-Cf0wrtnDupW0wTiVKfuCJMy8lfRYV-yuQkk=s88-c-k-c0x00ffffff-no-rj,False,False,1639341369.730325,Jupiter Ascending,5.3
UgjpC9llC5KoG3gCoAEC,"i just watched it last night. 
it looks like the whole story was squeezed to only 1 movie. it could have been better if it was a trilogy or something. make it like Star Wars world style or something.",9 years ago,@arjay2002ph,UCh7ANrMREuKHPncovo9x4Aw,326,14,https://yt3.ggpht.com/ytc/AIdro_l461xxGd3y6WKtttA0KxkETbCvBkAsqOYAopKvvNGSqQ=s88-c-k-c0x00ffffff-no-rj,False,False,1449952569.731326,Jupiter Ascending,5.3
UgzFPa_nDBquThd_L0J4AaABAg,The Gnostics wrote about this but most thought they were crazy. The rabbit hole is deep.,2 years ago (edited),@Seekingtruth-mx3ur,UC91D4QX7A3dUorsU9RBvYqQ,10,,https://yt3.ggpht.com/ytc/AIdro_m4h_I-2IeaT_yyUCqN5xmMoswXJgErB-T_DPEHAQa5Rw=s88-c-k-c0x00ffffff-no-rj,False,False,1670877369.732325,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF95xvCRx5a4_,Is that the one with extreme botox lip?,4 years ago,@hongry-life,UCD9b8lbEQb9pafN0mQfUXeA,5,,https://yt3.ggpht.com/ytc/AIdro_nKO3AywVtwPgWbKPffc4k7S-GYQMHQF4FOBw_G2QyL5A=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.956973,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF96JLs7sykaE,No,4 years ago,@manzariat7523,UCZ7ybDRvBAaPRe4mW8Yhq7w,10,,https://yt3.ggpht.com/ytc/AIdro_k5gsjS209Z7aONQGqY9d-TU-BYy6W1Go3MBmgVWfiZIQ=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.957976,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF98C98217WYV,no he  doesnt,4 years ago,@KimKim-pp5fn,UCV31RTKrDhPBIIzLGxMIkQw,8,,https://yt3.ggpht.com/ytc/AIdro_lkBcEDEX8_SKPTBBE2lg5vyKzAFz0ramCHdnbvt-5ibHI=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.958942,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF98E4ZdPRp7l,Absolutely not! On the contrary He looks so hot,4 years ago,@sarahsampson9013,UCwX1UZByn5TfNxg8Lvs7Lqg,15,,https://yt3.ggpht.com/ytc/AIdro_mpBTPtVV-t0iqXkWn4pZg9mw5GduWHYMO1sshudeE=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.959944,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF99O2K0GnsEZ,the blonde beard perhaps,4 years ago,@JavenarchX,UCldE05FvnxWh75fZ3apCCmQ,1,,https://yt3.ggpht.com/PmwZXD7WIv2xCKxaXSMfrnm4WupctqJ1jrtJQWqpKCjnwve3XwJUeYW3e8C2RyDd4JQpbq3B9A=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.960939,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9AscEWRJrXE,Love it,4 years ago,@p05h30,UC-JyOrziF2De_PEArNIp2Zg,0,,https://yt3.ggpht.com/ytc/AIdro_nmW8qbfzQKY43Yp2Ea7YTcjXzuAh39cTKoxokvBs15hWs=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.961943,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9Ce3yzOwi34,"if by ""ridiculous"" you mean ""hot"" then yes i agree",4 years ago,@elizabethbennet4791,UCAXcM-m2nf7MgRWvSd2paOQ,11,,https://yt3.ggpht.com/ytc/AIdro_kpWUlKAPZgLbM0fMiJFubbu65zvqoRYpuAjy-olXNVjZZV=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.961943,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9EX2U_SWQ0O," @hongry-life  the ""botox lip"" guy you're on about, his lips are actually natural it's crazy XD",4 years ago,@nobodycares1134,UC25L3dVxh0JrUBSkMKYbVJQ,1,,https://yt3.ggpht.com/J2T5m59xYSc0nbZwKtv39eYpxS2-ItS1F889xLzeVTbKsNeuQiRNyDlvLKk4cqrlO3NgTtAN=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.963459,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9FAHOQi0_65,"no, but you do. lol.",4 years ago,@cloudcanoe,UC788EHZFDyZVwT5ZVIEoaAQ,4,,https://yt3.ggpht.com/_VJUF_rkBUcJn6EFqxRVvq5PDyI9q2NGCK_YrUaXtzkI-KfLL0CbbLB9RMdx9SL65eakn4K4=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.96448,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9GcmOq9i4wQ, @hongry-life  mk,4 years ago,@TiffanyAliano,UCEC28qSzzUOMBIceYRsrGMg,0,,https://yt3.ggpht.com/ytc/AIdro_lDngas5f7SQztznm8SPawX7-3zBHv4dGLHyIg50JUhOT7y=s88-c-k-c0x00ffffff-no-rj,False,True,1607805369.965476,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9KxqqtnPktf,Lol,3 years ago,@youcantseeme4266,UCY0J-F6m8DfxCJIEzRPhnQA,0,,https://yt3.ggpht.com/o8UCdr3nMnI1Em99kb7kmklBFv_58BDGo_GX8zmbYGXfOfy_2BDycXVQ-YDRpjGYHKiKcQEbuw=s88-c-k-c0x00ffffff-no-rj,False,True,1639341370.218621,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9_XR9pDWFeI, @nobodycares1134  then he should just go around saying it's botox. At least then he can blame someone else for it.,2 years ago,@nicotinadicksean7838,UCkyghY5ei_HL23ZNbYzfbHQ,0,,https://yt3.ggpht.com/ytc/AIdro_mkLO97kTQBhD1y6_12_RwCBlZbvm0lFWC1fm-6j2EAW9Vj9t7ftMX_By3gz5Ppz7-oIQ=s88-c-k-c0x00ffffff-no-rj,False,True,1670877370.219621,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9d6Nz_6skSZ,I loved him in this. This movie should have had more hype.,2 years ago,@tatisinchicago,UCgFGUMEv2AuJ8bB2GDTvDtw,2,,https://yt3.ggpht.com/pUx4dBkbbqX1rykRzktY_gIP8xUgQ2F9dOz7yFv88D7IfcZPjZcjtU4o2xG_X-LGpS8_hghBww=s88-c-k-c0x00ffffff-no-rj,False,True,1670877370.219621,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9kfKiPjm-EG,i think he look ridiculously good,1 year ago,@ajrl268,UC62LV5-gw1521ZZJPgkAXfA,1,,https://yt3.ggpht.com/ytc/AIdro_lFMrP43IPDNr56KHghLqmgUYDwazZih37M3LF7rL-ZkvE=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.221624,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9klFFZVZyXf,Looks ridiculous in most movies,1 year ago,@gavenknapp5004,UCrs3BfSzX2LWmVQWqdiGICA,0,,https://yt3.ggpht.com/ytc/AIdro_k677mSp99eQLr7FsOn8SbJzT1Sa1nMUvkJX4qCvn0aPNaZ3xuiM4eKIIzArYaFWYy_8g=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.222617,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9n3n-TT8FNW,I so like him in this movie hehehe just done rewatching it,1 year ago,@DaisyDegamo-dishangdee,UChpsEqaHsM2uGYQTYmdCmfQ,1,,https://yt3.ggpht.com/ytc/AIdro_kAIwJsP2pW1P5yjJIyBCXMaJnVvVDryJmy3LCXp41pNhMh=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.223617,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9oRn3UDZT2w,That's a solid YES.,1 year ago,@jrrshriner3225,UCHhoQRHnmHxbBMQW5J9BRpw,1,,https://yt3.ggpht.com/ytc/AIdro_lUfK69YGrAmYNzVw7ocX9CYLzlgjw7g60bmed5dirYQQ=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.224623,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9oYOpqhWV93,Has to be. He is a splice ;-),1 year ago,@wabisabi4848,UCy_u8O8FyveL6Q8ICTAH92w,0,,https://yt3.ggpht.com/gNIwLPt_ChT7jISJeUXudv6PhpWuPPdYBh8rGwxOKKiqFm1QABy2jAw8wpi4-ev543cJHQ2JVw=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.225617,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9oYOrgqkh9i,Has to be. He is a splice ;-),1 year ago,@wabisabi4848,UCy_u8O8FyveL6Q8ICTAH92w,0,,https://yt3.ggpht.com/gNIwLPt_ChT7jISJeUXudv6PhpWuPPdYBh8rGwxOKKiqFm1QABy2jAw8wpi4-ev543cJHQ2JVw=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.226623,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9ooPqlnVAlw,No.,1 year ago,@elenaphisher244,UCOEiXmU2LoXbNJek-MWp9Bg,0,,https://yt3.ggpht.com/ytc/AIdro_maRtrNSlJzlIsEr-bu6jx0-fno5w6tD0BoSf7afrkbBw=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.227621,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9qiM7HlkaMd,Come on bro he is an alien 😂,1 year ago,@hemantpainkra3201,UCCieRmZiVP2ySeynLuT2yfw,0,,https://yt3.ggpht.com/ytc/AIdro_lScngGBhN4ncFB2pN-MmXByD9mSUQyYWs8Sm0-ITBsjA=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.227621,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9u8W6Ayv1v9,😂,1 year ago,@heartlove7502,UCJNO4XzUPjlqjl_HAu3jpVg,0,,https://yt3.ggpht.com/ytc/AIdro_mrp3VCR19G0AhY2Tyo_iZaXFb5fV0Zm_P2grHrvjvmMQRf=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.22862,Jupiter Ascending,5.3
UgiGe4eN1IxNwXgCoAEC.7zJhPWFVXbF9xXJc2JEZeS,"Yes,was not his image",1 year ago,@cindyhale6912,UCNjov62HGoX79sQiWUjFlIg,1,,https://yt3.ggpht.com/ytc/AIdro_l7gSe0BVR_cERMLyP3RtyoMpR8tuAQr8NtiPB5D9w=s88-c-k-c0x00ffffff-no-rj,False,True,1702413370.229621,Jupiter Ascending,5.3
UgzvF7LvTHU21JceBhp4AaABAg.9gWRSU4fc9pA8kUeNj6ZTE, @9_silva can you elaborate please?,2 months ago,@shineonshelly,UC-QLdZHujp43nJObrOZ68ew,0,,https://yt3.ggpht.com/ytc/AIdro_knSXCZLJhA9wSLNt-eNuACJ9ODXz4PszXBU2zrRak=s88-c-k-c0x00ffffff-no-rj,False,True,1728761770.439148,Jupiter Ascending,5.3
UgzvF7LvTHU21JceBhp4AaABAg.9gWRSU4fc9pAAudMGuTSzq,"Spiritual warfare is real , Christ is king 👑",3 weeks ago,@victorisrael5920,UCzvEE9Tpl-0LZmaG07MuTeA,1,,https://yt3.ggpht.com/ytc/AIdro_ki8PvvrI1_Pg4q3DOdhm9krj3U5-VpWtF-z0979415CA=s88-c-k-c0x00ffffff-no-rj,False,True,1732221370.445143,Jupiter Ascending,5.3
UgzvF7LvTHU21JceBhp4AaABAg.9gWRSU4fc9pABl8AWnygD9,It is your obligation and duty to share what you know. What are you talking about?,4 days ago,@Pelgram,UCI_2cWpNRTC_nzzeIH1pkGQ,0,,https://yt3.ggpht.com/ytc/AIdro_lXZATiSU94AudKCeqOS-aak7Qi50J9-N9s4qqnF2E7CRmgta6gS959E91ZM-ms0kpswQ=s88-c-k-c0x00ffffff-no-rj,False,True,1733690170.448106,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89AfKeUIW2aH,People are waking.,4 years ago,@kerry-ok,UC72WLsy0sJcB5eYpvbcr01w,43,,https://yt3.ggpht.com/SK3hLQUO7mRPkEUvDvOPyArlHf7TuCZI9_Y2XinnwoHXtdLtTLfdh1b0KENe798wPKZnaNfs3Q=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.698701,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89B6P_WTYma3,Hahaha! Ya your right.. 🙈 crazy how accurate those Reptilians are on this movie! So not funny.. 🤣😂,4 years ago (edited),@theravenscatalyst,UCnc_BPfSVVSoHNV9wJPUYjw,32,,https://yt3.ggpht.com/q1r2hZWtWGkKAVjLjgR-ZULPhGwmDOm7EbhpCg9rpOtpCxbD4F5xsAFfFmeF4e5PUSlJ5poT7w=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.700743,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89BCclUVaJiv,Spot on,4 years ago,@rockdemon4485,UCJVqKwCeqgzFK3Mk9hOklcQ,8,,https://yt3.ggpht.com/ytc/AIdro_kixPiAvvSt53JGcvev9_AeIJ5yC7oLY-17k8g5ryOmDQ=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.702742,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89C_HSPEp3eu,Ya right,4 years ago,@Missionsuccess-hr1lf,UCZtCM9uXcZVhdY7fdAl1hYQ,3,,https://yt3.ggpht.com/hmqVvmAUECBmXp6YkhI_FCtrbOhcTf2piImQVHGBhrbFmYiZDu3l4miLxk-lZosyUEYeVm8CUN8=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.704757,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89Chco0HLfEE," Ditha  loosh is a newer concept to me , only a few months . I wish I could not feed those bastards . Twice in my life I woke from sleep with two round bruises on the underside of my wrists , which faded away over a couple of hours . The first time was in the Army around 1986 , the second time was when I shared a house with my mom and uncle by the Salisbury, MD airport . Reminded me of the scene in Jupiter Ascending where her blonde roommate is levitated and samples are taken by the grey aliens . And I know there's a cover up , or , reality is being altered , because the first movie DVD from Walmart I scratched up with my house key and threw away cause it was both fascinating and so disturbing . But , intrigued , I wanted another copy , but Walmart was out , so I ordered one through a place in the mall , but that scene was edited out . Now, why was that if there is no truths / facts in the movie ?  I told a few people , but ended up throwing that DVD away , because no one seemed interested . It felt like defeat .",4 years ago,@tonydavis473,UCFpyfYS8tar1kqC9rNbTSSg,11,,https://yt3.ggpht.com/ytc/AIdro_li_Ci83fvOcupQGBFB0BxgA3exAb32mPoxY2Wdixg=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.705745,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89CrBWbUK5Nv,"Thats exactly why they put this movie put. They tell us what is happening, its theire code to let people know what is happening, but in a very sneaky way its hidden in things like movies, videoclips, and so on.",4 years ago,@LantingFarming,UCD-uFRB5I7I0zlj3KxWcj-A,34,,https://yt3.ggpht.com/p_71FsIsiWc5G3kiQFTZzZkpWx2XJ3P_d02AlALCT469TbNW1-E6RSdPN4Z4KBPbGThaLZVROQ8=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.707698,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89CtzT0IqDs3," @LantingFarming  Yes, it's pure predictive programming",4 years ago,@florenceleclerc1154,UCA3xAinfvbBRhafhxE-M3Tg,20,,https://yt3.ggpht.com/ytc/AIdro_lfaMxFMQlr_y00XDRroXIurJmeNTgPzqO-JPwpN0I_6Qw=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.709699,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89DKG3JK3n1b,"Just to clarify , I am not saying everything depicted in Jupiter Ascending could be true on even a few levels . The two times that I had bruises on my wrists I thought it was an energy vampire , but the movie just seemed to be an explanation that made perfect sense immediately.  Oh , and the reptiles were probably the real ones in charge , instead of  the white people.  Supposedly the Annunaki scientist Enki (Jesus) made mankind , and that we are just slaves or  dinner for them was a shock . Unless they've become vegetarians in 4D bodies ?  I can't pray to a Jesus who would be a descendant of T-Rex . That's extraterrestrial theology for you . It's good to question your beliefs but you may end up without an anchor , sail , or rudder ; dead in the water or adrift .",4 years ago,@tonydavis473,UCFpyfYS8tar1kqC9rNbTSSg,6,,https://yt3.ggpht.com/ytc/AIdro_li_Ci83fvOcupQGBFB0BxgA3exAb32mPoxY2Wdixg=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.710742,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89EAZBWQjxuK,You should see the 5th wave it happening now we are in the 1st wave a mild virus killing people,4 years ago,@kristinelawson8654,UCQ2KFhsNijTzF3TnfHxdbtw,6,,https://yt3.ggpht.com/ytc/AIdro_lwpEAxylcsSdkeaybN3T_sXfuv2VsqhiAe7qCTwrQ=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.712744,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89EZZ_WmnKnj,How??,4 years ago,@blackburn9898,UC3R6O7xkK9ThlqkG3o7CAxA,2,,https://yt3.ggpht.com/ytc/AIdro_n23PoTbSJRBYoelVwHnbHWMzlN7cfkUvvJhM_h3f1B1Q=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.713744,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89EvrUIS_j26,Exactly!!!🙌🏾,4 years ago,@nanigirl78,UCrBvWUTBa1iLzk-Hc2FwfnQ,1,,https://yt3.ggpht.com/ytc/AIdro_kv9pxMwQeX15ONgbuDEDr3-tt32nN77--Jp4vPzGEz68h-=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.977406,Jupiter Ascending,5.3
UgympOrktYdgOod0J2B4AaABAg.9-iWxLt8bH89H9JvomO87Q, @tonydavis473  whoa!🖖🏼 👁🌌✨,4 years ago,@lovecabo8364,UC6M2BvMc9YCTujVeyZBi2Wg,0,,https://yt3.ggpht.com/ytc/AIdro_nNir9tq-6py0ioNhS3RsL4GAfZOF1O5rt7lE0EXlPwzg=s88-c-k-c0x00ffffff-no-rj,False,True,1607805370.977406,Jupiter Ascending,5.3
