cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed,Movie Name,IMDb Rating
UgzpFI8UT0bB_y8zXIl4AaABAg,"The moment that Celestial showed itself, my jaw went through the floor.",3 years ago,@TheInspirationalMind,UCNSDPrpzCnoBJHRolG3lh2g,40K,430,https://yt3.ggpht.com/3xlHI10HRRGCA66LlXGIUEGqX6-ctqS9mYlN7sn5MF0UjDVQe7pLECyNCuqp_i6aSs163iYripE=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.521112,Eternals,6.0
UgwNQ391BUr9R-GLd514AaABAg,"“Why didn’t you guys help fight Thanos, or any war, or any of the terrible things that happened throughout history?” Haha I love how they asked the exact question we all were asking after the first trailer. By the way this looks incredible 🔥🔥🔥",3 years ago (edited),@jking4973,UCUsb1PjVm5oLXYmqTx-LSqg,3.7K,58,https://yt3.ggpht.com/ytc/AIdro_n_r-R61VU0R3atG4kyn_Y2n4NSosUe8TIj1Uj-hiWWbD4=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.522114,Eternals,6.0
Ugylpr2OUlScChgyMW14AaABAg,Fall Collection IKEA is epic,3 years ago,@GMAX100m,UCqZVZqdDyqRcrQn9sit7xew,9.2K,57,https://yt3.ggpht.com/bEBI1LHabsojaP_fW1zLtqCfy5u1RYzYPNxHclPqc425B9p05OSBE_oHsGIsAyvwOJiqCWaK=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.523115,Eternals,6.0
UgzBmYTqIKH_DZxfOuZ4AaABAg,"""Why didn’t you guys help fight Thanos..."" feels like a huge meme material for the future",3 years ago,@prakharagrawal153,UCwTjr5YScg--rrwVsayGG-w,1.2K,34,https://yt3.ggpht.com/ytc/AIdro_ksEHS4QvNC97LjQ_Tk8ZrmE9s0sbrrZ8RIu0SqaEc=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.524113,Eternals,6.0
Ugwkcn8op5d9rZvx8Nh4AaABAg,"DC is taking so long to make Man Of Steel 2, The MCU now has their own superman",3 years ago (edited),@teamtwiistz,UCiwxS4lMXcQXv5LKbYdbjag,7.7K,228,https://yt3.ggpht.com/ryu9a08UoW5eX-T5Wdn9xhrqCAhGaa09SHZXd5yg936hhWO1oo8HLcRHdC8IlfQ3svPItt1N_g=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.525114,Eternals,6.0
UgxUuPYgIbliPNdfkDl4AaABAg,I love how everyone is meme-ing The Eternals for chilling while Thanos was out there clapping the cosmos' cheeks.,3 years ago,@oliverchristophergomez4642,UCb1z1zrVni9_TtzIZjwGevg,2.3K,23,https://yt3.ggpht.com/ytc/AIdro_nf9Fe_KVYkbtahN230K44m5O234jXdlRUYlEHyQpCvmA=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.526117,Eternals,6.0
UgwKiKGFQXn9vBGQJCx4AaABAg,"This seems different from everything else we've seen in the MCU, and my god does it look crazy good",3 years ago,@ciaomarci,UC7Js3towgY7bDoSXB9jXMhQ,3.4K,71,https://yt3.ggpht.com/ytc/AIdro_mQmgGsD6QLlIt8bos1x95aL-pysyteumbt_66P9n3-7nA=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.528114,Eternals,6.0
Ugynsi3h5MwhZyBdsDl4AaABAg,Eternals is interesting but could've been absolutely stellar as a TV show. The potential for storytelling across human history and finishing it with a movie that serves as a series finale. What could've been...,2 years ago,@MattAce70,UCpgj_Yc9nkDQtnCmbv2nKVw,1.6K,10,https://yt3.ggpht.com/ytc/AIdro_nmzCNTrb4MYsXGt_n38LSYQJJdHh5hsjYdn8aQlECmlwU=s88-c-k-c0x00ffffff-no-rj,False,False,1670877660.529113,Eternals,6.0
Ugy0UsQ0dKx9UyAUeOZ4AaABAg,Interesting fact: Not a single eternal vanished after The Snap. Eternals are not living beings but consciousness machines. At least there is such a theory ..,3 years ago,@Marcin2824,UClVa-8FHX3iqilltxIxpuYg,3.3K,84,https://yt3.ggpht.com/ytc/AIdro_msc8pQVERJq-XsjOepv16VEkmuT7o8xAIFaxRtEr0dbrdb=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.531111,Eternals,6.0
Ugzl8OwGWEHDbSV51MF4AaABAg,"Drax was amazing in this trailer, i really loved it,as he was standing still. So invisible..",3 years ago,@davidcsobogo5561,UCxRaYIOodH-MU6KHtjcnLBw,2.6K,16,https://yt3.ggpht.com/ytc/AIdro_ngJBPyaV61MS-C48gP-UjScWxbH90ZTe80j0LIHfY=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.532111,Eternals,6.0
UgwWvYLnv0-_ZbnWeFF4AaABAg,"""Why didn't you guys help fight Thanos?""
""We were instructed not to inferfere""
""By who?""
""Kevin Feige""",3 years ago,@kimackerman2183,UC3SGzZH6m03CUiMHt8oJDmg,24K,118,https://yt3.ggpht.com/ytc/AIdro_muO84BLG0hLVW6luSN8GmaylqlB09sxhbDyRIrdMo-4m4=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.534111,Eternals,6.0
Ugzbmw3sEg6i2D06_xd4AaABAg,"Music by Ramin Djawadi!!!! 
Cannot wait to hear the legend's soundtrack for Eternals!",3 years ago,@samuelkimmusic,UCuoKuTCQ9dmPIgOgyLm9HgQ,11K,128,https://yt3.ggpht.com/9QBOD8JbiG7_HHZj7TUOtTriUcAefAWxtBRaun832mE4y_OCzIcLq8Lf_3yWshHiwPePhPznTQ=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.53511,Eternals,6.0
Ugx5Vsrfn-VI9JO7EM94AaABAg,"“We were instructed not to interfere unless Deviants are involved.”
“By who?”
Ominous Mickey Mouse laugh in the background",3 years ago,@Gorb5342,UCwhNgxrdYiHossoTa7TBYsA,11K,76,https://yt3.ggpht.com/ytc/AIdro_mytrZIBXC-NphJOLSAsJb75vEDry1GqBdXF346eNc=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.537112,Eternals,6.0
Ugy4NzoA1__iK3YYXuF4AaABAg,"""why didn't you help fight Thanos?''
Eternals: Our casting wasn't done yet.",3 years ago,@moinjhu,UChxyJVHgaDSoURYfTSJ8I0g,5.6K,13,https://yt3.ggpht.com/ytc/AIdro_lqzyBHzLGNdoZWCoTYlTJOukZlKHCScmGZCo4ZFNo=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.537112,Eternals,6.0
UgzgQtyh9LRkE4MP3-t4AaABAg,"''why didn't you help fight Thanos?''
Eternals: we were in Ikea",3 years ago,@Random-sk6hm,UCRGQj_YbvzpQgnkmOi9Xs9A,6.8K,38,https://yt3.ggpht.com/ytc/AIdro_la_q5yfmHOllccp8Y2CSUmOtpSmkacd72J8B638Ms=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.539115,Eternals,6.0
UgyYuuJ3FvUvxmXPofJ4AaABAg,"-""We were instructed not to interfere in any human conflicts""
-'By who?'
-""Kevin Feige""",3 years ago,@howardanti8665,UCNxlXM2_AMmk5qny9pdt3sw,3K,12,https://yt3.ggpht.com/ytc/AIdro_mIBEFm5hTVOqx7ywzX0KwrsLn1iKOfMy-KRmydLbHlIpI=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.540113,Eternals,6.0
Ugxb1y6RrgqCHedKv194AaABAg,Still impressed by the Celestials. They made them so terrifying and made you respect them. I want Eternals 2!,1 year ago,@juliuswicht1064,UC5nDAndVBGHnkRn5aDERhyw,300,19,https://yt3.ggpht.com/ytc/AIdro_nJhn2djNFXKz9rQ7_ac_bL9xHvkWySbGWUVr4x97KFfV8=s88-c-k-c0x00ffffff-no-rj,False,False,1702413660.542111,Eternals,6.0
Ugx4529liwk6qtZOM8d4AaABAg,"Dr. Strange : ""Is that everyone?""

Wong : ""Why, you wanted eternals too?""",3 years ago,@gendredd7113,UCz-pMmyewcea32kx3Xr1kbQ,3.1K,10,https://yt3.ggpht.com/ytc/AIdro_l_nYBI2l-s7SxBpTVCyKEvOr-0CvdIDYeydw4Xkr6EogFO=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.543114,Eternals,6.0
UgxH5KKGNKmpKltVqc14AaABAg,"“We were told not to interfere.”
“By who?”

Shows Kevin Feigie’s face.",3 years ago (edited),@therevival4433,UCp-6Jlb80VXiaG99lYTzw-Q,4.9K,23,https://yt3.ggpht.com/ytc/AIdro_lU83T-08G39muIL1NCJ9DOFlAJpNCt09D4BCXmbtmuPw=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.545116,Eternals,6.0
Ugz3nLTmimghHHT6IPh4AaABAg,"Sersi: ""We were instructed not to interfere in any human conflicts unless Deviants were involved""
Dane: ""By who?""
Sersi: ""Kevin Feige""",3 years ago,@jayanths1221,UC2wzC2ZEZyZUv_dpUb-6nSQ,4.7K,43,https://yt3.ggpht.com/ytc/AIdro_lsALGOxP-CR_I1a7h8eZADMoUaC3deWOvNaIhS75VYi5w=s88-c-k-c0x00ffffff-no-rj,False,False,1639341660.547113,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDKoVGuJdB,I uploaded my Face Reveal..,3 years ago,@LightningSquad,UCEv2N5LX-4mnGMSqweQnuiA,187,,https://yt3.ggpht.com/ytc/AIdro_l05Ah14RkFMd5OoX4YT4MWmEu0kFVSm60VrvyfWNSgPM8=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.764167,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDKsk7uwav,is that Galactus?,3 years ago,@Relaxxpoint,UCoNjgeFY1H6cYguMOQkcafw,779,,https://yt3.ggpht.com/9Nuu4pSIX0mSd4yj7dtFDeSsgqPJ1zf1j8ZtArl4PfCuhJn_blEd-q9jH1NARz_ySqW6n22d=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.765173,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDKtcRZCi9, @Relaxxpoint  no,3 years ago,@raulferreira1138,UCaNnOZRihXCYIopz6wouVQQ,1.4K,,https://yt3.ggpht.com/ytc/AIdro_lH_XpdwTfHA4gmTLrKQNpx3BDTBJ-lPteyerEISEU=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.766172,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDKy52KKYz, @raulferreira1138  I thought it was Galactus,3 years ago,@aungkyawpaing2865,UC54myN_bB4wK0FyGcrQ6pOA,666,,https://yt3.ggpht.com/ytc/AIdro_nyoaZlP2Ku0BhKLQ5vnymQhX2SEdo8qOd1AFkmJRQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.766172,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDL2KlhM2Y," @aungkyawpaing2865  I thought so too for a second. I know it is a celestial, but who?",3 years ago (edited),@phantom2683,UClvXugfwgWOd9DRBVwaOeEQ,340,,https://yt3.ggpht.com/ytc/AIdro_nMi4m0HFsJFGjqxOAx7mjVE7Zoe0nCkyNkMgX_99687QY=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.767172,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDL45jztwQ, @Relaxxpoint  Galactus is purple and has a human looking face. That was a celestial,3 years ago,@master9x3r4n_2,UC1ZbJCCiItK4ZPiWQxDhjdQ,1.6K,,https://yt3.ggpht.com/ytc/AIdro_nfDqc41YhA_qatltnkmdTmscioPggzKbzJ-VrtxVpZFZs=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.768171,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDL4qSiQsL, @Relaxxpoint  watch the Guardians of the galaxy scene wjere the collector shows the history of the stones,3 years ago,@Pointman11111,UC4RS7dG70mmDUDbPTfTbHzg,1.3K,,https://yt3.ggpht.com/ytc/AIdro_lMh3hU_rbwmdNYLAlGNKPmoEhtKiM7WudEInCr2z4=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.769172,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLCUkAFHG, @phantom2683  It’s Eson the Searcher.,3 years ago,@TheInspirationalMind,UCNSDPrpzCnoBJHRolG3lh2g,1.7K,,https://yt3.ggpht.com/3xlHI10HRRGCA66LlXGIUEGqX6-ctqS9mYlN7sn5MF0UjDVQe7pLECyNCuqp_i6aSs163iYripE=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.770172,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLFIR4eIB, @Pointman11111  ohhh,3 years ago,@alyces8203,UCidopMwHBaiSlGmS38M4mcA,59,,https://yt3.ggpht.com/ytc/AIdro_m-eg7U4ZWE5OXRPFxJBJm4ofdHmcwY8YPnf1BEzaQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.770172,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLFoiiMBy, @Relaxxpoint  Galactus isn't a celestial but there are many of them,3 years ago (edited),@Troupe_Master,UC0KuwcZAvTSIFoH4Z5akm7Q,215,,https://yt3.ggpht.com/kpu6CjgKo2F4MXwWWwss8XAbfOxXK0rDYvKHKbauiupBULuRq_yEcQ-4sfUPinEu_xxPxNFWYg=s88-c-k-c0x00ffffff-no-rj,False,True,1639341660.771172,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLGNn5ece, @Pointman11111  I got that...but Galactus is also Celestial rite?...so I thought its him,3 years ago (edited),@Relaxxpoint,UCoNjgeFY1H6cYguMOQkcafw,44,,https://yt3.ggpht.com/9Nuu4pSIX0mSd4yj7dtFDeSsgqPJ1zf1j8ZtArl4PfCuhJn_blEd-q9jH1NARz_ySqW6n22d=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.156243,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLJVd4trJ, @Pointman11111  you’re smart,3 years ago,@alyces8203,UCidopMwHBaiSlGmS38M4mcA,18,,https://yt3.ggpht.com/ytc/AIdro_m-eg7U4ZWE5OXRPFxJBJm4ofdHmcwY8YPnf1BEzaQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.15724,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLNtGsYYZ,Mine went to core,3 years ago,@unkownsenpai621,UCM_oMZaP0eBQeiYQA5dLSaw,9,,https://yt3.ggpht.com/-bhHJMAvYxD-9qogKJvwAlGdLQCwR2QlKqUKCnfZHQj0WEI2C1JVOgSDikJ2FOiiTqZ_60Y7=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.158238,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLP4V-Ltm, @TheInspirationalMind  thank you.,3 years ago,@Relaxxpoint,UCoNjgeFY1H6cYguMOQkcafw,13,,https://yt3.ggpht.com/9Nuu4pSIX0mSd4yj7dtFDeSsgqPJ1zf1j8ZtArl4PfCuhJn_blEd-q9jH1NARz_ySqW6n22d=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.159238,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLSQgZwlp,Eson the Searcher I think,3 years ago,@miguelestacio2983,UCiNpXkwKmes_2LYeFC95Mzg,71,,https://yt3.ggpht.com/9t0Cbk7uL0LdjL7SC8lMLODZA3xTdXOng5FRIMm_7U4ArP95_y8I8NnaeMynVqpzwGTjSQVFfw=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.160237,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLT5Su9ZR,Mine too,3 years ago,@adityagautam2798,UCrlSsS25V6Zx8lUoB5UqtCw,4,,https://yt3.ggpht.com/1zIl7cdq1jYAE_tWrhgwiQ53pZgHQ-X-klHYoCQb81LWM-AfuzLKNKLLyh1IRJfXm2mp5CeblQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.161237,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLVW0AomK, @Relaxxpoint  it was Eson the Searcher,3 years ago,@harshvardhansingh6006,UCeLzilVvuQ01n5M3jlrWnng,86,,https://yt3.ggpht.com/ytc/AIdro_ng_beCc-igrDg-PBr26_U_O7r-0eepgsv-yvbXccZqp7h4=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.161237,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLWEYh4D0,​ @Relaxxpoint  More like one of his (grand)fathers.,3 years ago,@Spaceisprettybig,UCTLht4VD6hN6EPbrgO9_x6w,14,,https://yt3.ggpht.com/ytc/AIdro_mUTpDiKExWRL9H--T-xt7lnnK694ULWJjb4jxtkTkJDA=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.162237,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLYKIyTUC, @Troupe_Master  galactus is not a celestial he's an cosmic entity,3 years ago,@donovanjr284,UCjGQFiR7avsu1-eDpT5k48w,185,,https://yt3.ggpht.com/ytc/AIdro_kOFChmohJ7ONkRS50fTwjPrKijvS3HWY2D2E8BllE=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.163237,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLZdl0eCA, General Kenobi's Art  I don't know they came up with it. Think that was galactus,3 years ago,@mandeepkumarray9050,UCGWdaddJtO3vU7Lsm4DzYQw,2,,https://yt3.ggpht.com/ytc/AIdro_m6aSI6CNIyLaT8R5tFwICGiCK6zfTQGM_s0lS4n08=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.164237,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLZvoD3Az,Same here!,3 years ago,@ktkthakre,UCymu2VySkcJZCBIm6u0JPwA,1,,https://yt3.ggpht.com/ytc/AIdro_k8BeUuvgAynEPILwV_YotoeKFsdyuGcC5yuWeWch60ANh2=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.16474,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDL_c0oH2C, @sambitrath453  living tribunal is actually three headed,3 years ago,@harshvardhansingh6006,UCeLzilVvuQ01n5M3jlrWnng,63,,https://yt3.ggpht.com/ytc/AIdro_ng_beCc-igrDg-PBr26_U_O7r-0eepgsv-yvbXccZqp7h4=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.165745,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLax6TFzn, @miguelestacio2983  yes,3 years ago,@harshvardhansingh6006,UCeLzilVvuQ01n5M3jlrWnng,0,,https://yt3.ggpht.com/ytc/AIdro_ng_beCc-igrDg-PBr26_U_O7r-0eepgsv-yvbXccZqp7h4=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.166744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLoDOwUmX," @harshvardhansingh6006  right my bad, doesn't he look like the one who was shown in the beginning of black panther i guess?",3 years ago,@sambitrath453,UC3pCZv8aSiIWoc8_xrQQSKw,2,,https://yt3.ggpht.com/ytc/AIdro_lecN3EFkvY2buBnXERrRQFOJGHrGxaBpLGrBuBagCsmVqQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.166744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLxs9_HrI,The Celestial was revealed in the first trailer.,3 years ago,@binaldoshi495,UCSRkgu1wBm53XKITlow4hdg,19,,https://yt3.ggpht.com/ytc/AIdro_nNJ9v7CHUf90hp7XH7pL_BXefg3qmLJdraypXOdECfTzM=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.167744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDLxvQJ1k7, @phantom2683  its a celestial the beings that created all life,3 years ago,@MargitTheFellOmen5002,UCrhAWKVAzcAX3KYD2aXGoWw,21,,https://yt3.ggpht.com/nZMZ56u79YTHAuHkpWsRoW5nyTq7YNds98Ck-BqagQ3XJjAiaWtNgoZ24bZfytyCniYzmf2vfEU=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.168744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDM-RvXDOb,The red one with 6 eyes?,3 years ago,@souravchoudhury6842,UCsmYiOfkOT3gRAdC2kwQp-g,0,,https://yt3.ggpht.com/-z6rMq4eoQsLf_I1l9vX1pllVhygpvguqyjGtO9CaMQTO2L17-Vb0snpvIsD5956h9zmKQgxiA=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.169744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDM4t2npzA,The celestials created the eternals i think...,3 years ago,@dildobaggins2759,UCswz-iH56IhjQrVM6vJL8ug,50,,https://yt3.ggpht.com/ytc/AIdro_lVFEra2uP-PS-jfZ1A5LmfdJrtBFSRLwf80e06Fd0=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.170744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDM9P-DJsK, General Kenobi's Art  Then what is he?,3 years ago,@bighand1530,UCtJWCSl1ZNZ1LJDHUG5XUcg,0,,https://yt3.ggpht.com/9pqUDEmXXOMymXCwIYChJDrCz3mF0SEaUw3twSn40MonnRufvZ04yKmgIoPUlzMO3WoL67VaZg=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.171748,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDM9_aCnqx,He mayB galctus. Marvel could have changes colour of galactus,3 years ago,@krishnanikethsurapuraju8993,UCQYlAeVOqyVs3-luo4xqH_g,3,,https://yt3.ggpht.com/ytc/AIdro_llLNTyYMp461-jClIipDkTi3Vh-ireLFZi01Ezge0=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.173748,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMD7bW_1Y, @Relaxxpoint  Lol Galactus I mean how can you mistake galactus for a celestial?,3 years ago,@dildobaggins2759,UCswz-iH56IhjQrVM6vJL8ug,87,,https://yt3.ggpht.com/ytc/AIdro_lVFEra2uP-PS-jfZ1A5LmfdJrtBFSRLwf80e06Fd0=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.173748,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMIUK0-re, @aungkyawpaing2865  so did i,3 years ago,@ilyasnawaaz6131,UCkHB_Fb-CcyaBuTdbG8rUuw,1,,https://yt3.ggpht.com/ytc/AIdro_lm1LIe68xxjfibBQ3vjeNF4H7ibe5zi9BhxkEttVY=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.174745,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMJ5FonFw,Yesss,3 years ago,@jamesbuchananbarnesss,UCvsRBc5yRrkk_Cy5Icp4HeA,1,,https://yt3.ggpht.com/ztiB5e2ROiPxU7R6G98UjGdocp4tDOVJLKITIK0NKu94DdPbDQgjmu4at34OWok6qQ3ZM0wj_bo=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.175746,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMLYO71uv,Was that Eson the Searcher???!!!🤯,3 years ago,@KeeperProtector,UCO5trdAnAkxtLZFp3tPShVQ,28,,https://yt3.ggpht.com/P60LrKLBxYJBBjvQO5wVBSz1qbBh38db-boSuZGJcEmlzEdAzwva-vCSIcwTrh4W58-vSb15FBQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.176744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMMHvKaSE,Lol,3 years ago,@flexpol1907,UCigcuKVTIg7TIJs1RdIdS3w,1,,https://yt3.ggpht.com/0LkoxZ7f4bp5U0gEPTOyoxVcEG9YYrDW0iYhQJah5CCiReIMH3bH247FU-mUnYMsPoWVsskNuA=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.177744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMNnNq3XS, @krishnanikethsurapuraju8993  bruh did u never hear about celestials,3 years ago,@Schizoidsafin,UCm7A1JTOhBmiSrblJ3X8_pQ,17,,https://yt3.ggpht.com/VTZJ92xd03hBsFdSyBmLNS_vN6eUVTUPLBq5Y6wREk0GEKGk_lAiYDkz4H0M5ti-uQr3zELlXw=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.178744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMQgtSTJB,If they do Galactus it will be through the Fantastic Four,3 years ago,@alvin2021,UC9u_yGxt-qmE2rT4ZZb3lPA,36,,https://yt3.ggpht.com/uwMS236fxvhzOR31uLkNbdyNkdM2zD1sBb4p-mWYbsewBqE02XREGOC4iNoR3hFwFGCW3DvC=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.178744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMVHRktxI,Lol 😂😂😂😂,3 years ago,@september3030,UCR0oNJkf78MXVd4FmvGNmXw,2,,https://yt3.ggpht.com/iNQMI3_v2UdXbaiUvGZvrab3IsxvlawYM5TzGkvdnqC5pq9iwCXNCd4Qr2LWpNFDuUcSUr5QiQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.179745,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMVI36q6W, @aungkyawpaing2865  bruh galactus is purple with a helment and huge af,3 years ago,@joshbrosh6626,UCpchND6aI0NOpvHTRaxlaAg,20,,https://yt3.ggpht.com/ytc/AIdro_lVOp5YsP7SsLKeiTW7uMNQ6BD1QjuIDhiXSxKM9Qo=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.180744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMXXqV8wM,Same bro,3 years ago,@Talve,UCsWSfhYkugnB1xDjKemayUg,0,,https://yt3.ggpht.com/XAk6xeQhIpU518ggeG2t9VvqP0MDcUUFuXcYtCle2WxEMOSJWegf2I7HZzQMhdf_wonR0vWq=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.181744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDM_I5yTWr, @Relaxxpoint  no galactus is not a celestial,3 years ago,@joshbrosh6626,UCpchND6aI0NOpvHTRaxlaAg,24,,https://yt3.ggpht.com/ytc/AIdro_lVOp5YsP7SsLKeiTW7uMNQ6BD1QjuIDhiXSxKM9Qo=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.182744,Eternals,6.0
UgzpFI8UT0bB_y8zXIl4AaABAg.9RDKj0GtzFN9RDMdfcsqMr, @Relaxxpoint  galactus is not a celestial he is just a pure cosmic being,3 years ago,@hailnobu4660,UC4p5OUQOiE5aO6ru2sfVOeA,28,,https://yt3.ggpht.com/ytc/AIdro_mdEV4fPBroi8PBkN3PdA_t13CFj2xscDJTiG3G7x8=s88-c-k-c0x00ffffff-no-rj,False,True,1639341661.182744,Eternals,6.0
